,option,path,requests
192,get,/db/phpmyadmin3/index.php,11
193,get,/admin/db/index.php,11
194,get,/phpmyadmin2018/index.php,11
195,get,/db/dbweb/index.php,11
196,get,/admin/web/index.php,11
197,get,/sqlmanager/index.php,11
198,get,/phpmy/index.php,11
199,get,/phpmyadmin2020/index.php,11
200,get,/phpMyAdmin/index.php,11
201,get,/wp-content/plugins/portable-phpmyadmin/wp-pma-mod/index.php,11
202,get,/phpMyadmin/index.php,11
203,get,/mysql-admin/index.php,11
204,get,/phpmyadmin2012/index.php,11
205,get,/phpmyadmin1/index.php,11
206,get,/phpmyadmin2021/index.php,11
207,get,/sql/sql-admin/index.php,11
208,get,/phpmyadmin2016/index.php,11
209,get,/phppma/index.php,11
210,get,/phpMyAdmin-4/index.php,11
211,get,/mysql/dbadmin/index.php,11
212,head,/robots.txt,11
213,get,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,11
214,get,/.git/head,10
215,get,/wp-includes/wlwmanifest.xml,10
216,get,/system_api.php,10
217,get,/c/version.js,10
218,get,/streaming/clients_live.php,10
219,get,/stalker_portal/c/version.js,10
220,get,/stream/live.php,10
221,get,/flu/403.html,10
222,get,/news/wp-includes/wlwmanifest.xml,10
223,get,/website/wp-includes/wlwmanifest.xml,10
224,get,/web/wp-includes/wlwmanifest.xml,10
225,get,/HNAP1/,9
226,get,/wp1/wp-includes/wlwmanifest.xml,9
227,get, http://5.188.210.227/echo.php,9
228,get,/2019/wp-includes/wlwmanifest.xml,9
229,post,/sdk,9
230,get,/ReportServer,9
231,get,/wp-login.php/,9
232,get,/evox/about,8
233,get,/HNAP1,8
234,get,/manager/text/list,8
235,get,/pinfo.php,7
236,get,/phpMyAdmin-5.1.2/index.php,7
237,get,/prod/.env,7
238,get,/php.php,7
239,get,/infophp.php,7
240,get,/php_info.php,7
241,get,/php-info.php,7
242,get,/db/phpmyadmin4/index.php,7
243,get,/db/phpMyAdmin-4/index.php,7
244,get,/phpMyAdmin-5.1.3/index.php,7
245,get, http://ip.ws.126.net/ipquery,7
246,get,/phpMyAdmin-5.2.0/index.php,7
247,get,/admin/pma/index.php,7
248,get,/phpmyadmin2022/index.php,7
249,get,/phpversion.php,7
250,get,/temp.php,7
251,get,/old_phpinfo.php,7
252,get,/asdf.php,7
253,get,/_phpmyadmin_/index.php,7
254,get,/linusadmin-phpinfo.php,7
255,get,/phpMyAdmin5.2/index.php,7
256,get,/i.php,7
257,get,/db/phpmyadmin5/index.php,7
258,get,/db/phpMyAdmin-5/index.php,7
259,get,/1phpmyadmin/index.php,7
260,get,/phpMyAdmin5.1/index.php,7
261,get, http://azenv.net/,6
262,get,/opt/env/.env,6
263,get,/beta/.env,6
264,get,/dashboard/phpinfo.php,6
265,get, http://3.69.174.211:80/mysql/scripts/setup.php,6
266,get,/admin/,6
267,get,/conf/.env,6
268,get,/infos.php,6
269,get,/cms/wp-includes/wlwmanifest.xml,6
270,get,/wp2/wp-includes/wlwmanifest.xml,6
271,get,/test.php,6
272,post,/_ignition/execute-solution,6
273,get,/time.php,6
274,get,/admin/config.php,6
275,get, http://169.254.169.254/latest/meta-data/,5
276,get,/database/.env,5
277,get,/kyc/.env,5
278,get,/www/.env,5
279,get,/laravel/core/.env,5
280,get,/pma2011/index.php,5
281,head, http://110.242.68.4/,5
282,get,/showLogin.cc,5
283,get,/wp-content/.env,5
284,get,//pma/scripts/setup.php,5
285,head, http://112.124.42.80:63435/,5
286,get,/muieblackcat,5
287,get,//phpMyAdmin/scripts/setup.php,5
288,get,//phpmyadmin/scripts/setup.php,5
289,get,/assets/css/pc/style.css,5
290,get,/pma2019/index.php,5
291,get,/bag2,5
292,get,/old/.env,5
293,get,/vendor/.env,5
294,get,/phpMyAdmin-5.1.1-english/index.php,4
295,get,/PMA2016/index.php,4
296,get,/new/.env,4
297,get,/library/.env,4
298,get,/wp-admin/.env,4
299,get,/pma2014/index.php,4
300,get,/pma2015/index.php,4
301,get,/phpMyAdmin-4.9.7-english/index.php,4
302,get,/pma2016/index.php,4
303,get,/phpMyAdmin-5.1.0-english/index.php,4
304,get,/PMA2014/index.php,4
305,get,/pma2020/index.php,4
306,get,/PMA2015/index.php,4
307,get,/PMA2019/index.php,4
308,get,/admin/pMA/index.php,4
309,get,//debug/default/view.html,4
310,get,/PMA2012/index.php,4
311,get,/PMA2020/index.php,4
312,get,/pma2013/index.php,4
313,get,/pma2021/index.php,4
314,get,/PMA2021/index.php,4
315,get,/pma2017/index.php,4
316,get, http://httpbin.org/ip,4
317,get,/_profiler/empty/search/results,4
318,get,/PMA2017/index.php,4
319,get,/PMA2013/index.php,4
320,get,/PMA2011/index.php,4
